表名,表类型,用途描述
ads_mall_common_bi.ads_mall_arrive_times_statistic_v02,物理表,
ads_mall_common_bi.ads_mall_arrive_times_statistic_v02_temp,物理表,
ads_mall_common_bi.ads_mall_customer_archives_v02,物理表,
ads_mall_common_bi.ads_mall_customer_last_event_v02,物理表,
ads_mall_common_bi.ads_mall_customer_preference_v02,物理表,
ads_mall_common_bi.ads_mall_customer_record_v02,物理表,
ads_mall_common_bi.ads_mall_daily_event_statistic_v02,物理表,
ads_mall_common_bi.ads_mall_daily_flow_statistic_v02,物理表,
ads_mall_common_bi.ads_mall_heat_map_statistic_v02,物理表,
ads_mall_common_bi.ads_mall_person_relation_statistic_v02,物理表,
ads_mall_common_bi.ads_mall_pid_detail_v11,物理表,
ads_mall_common_bi.ads_mall_stay_time_statistic_v02,物理表,
ads_mall_common_bi.ads_mall_stay_time_sum_full_v11,物理表,
ads_mall_common_bi.ads_mall_time_event_statistic_v02,物理表,
ads_mall_common_bi.ads_mall_user_events_full_v11,物理表,
ads_mall_common_bi.ads_mall_user_events_v02,物理表,
