列名,字段类型,描述,是否分区列
brand,string,甲方名称,
city,string,甲方所位于城市,
site,string,甲方商场站点ID,
brand_store_id,string,甲方对商铺的标识,
store_name,string,商铺名称,
berth_number,string,铺位号,
aibee_store_id,string,AIBEE 内部对店铺的ID标识,
aibee_store_name,string,AIBEE 内部店铺名称,
type_by_brand,string,甲方业态一级分类,
subtype_by_brand,string,甲方业态二级分类,
thirdtype_by_brand,string,甲方业态三级分类,
type_operation,string,AIBEE 业态一级分类,
category,string,AIBEE 业态二级分类,
sub_category,string,AIBEE 业态三级分类,
area_id,string,店铺所在的商场区域ID,
area,string,店铺面积,
engineering_store_id,string,工程方对店铺唯一标识,
consumption_grade_by_brand,string,甲方定义的商家档次,
property_fee,string,租金/平米/天,
life_end_date,string,该店铺的合同结束日期,
life_start_date,string,该店铺的合同开始日期,
status,string,店铺的状态信息，有效/已失效,
update_dt,string,当前的店铺快照更新日期,
floor_id,string,店铺楼层信息， L1、B1...,
style_by_brand,string,甲方定义的风格， e.g.现代简约,
store_brand_preference,string,"商家品牌偏好, e.g. 高端奢侈",
repast_preference,string,"饮食偏好, e.g. 水果生鲜/饮品",
brand_store_type,string,租户店铺类型， e.g. 标准店/Pop Up,
